id,name,alt-name,adm1-id,adm1-name,area
d18943,Kiambu,,1518,Central,0.2100209347
d18944,Kirinyaga,,1518,Central,0.1203510382
d18945,Machakos,,1518,Central,0.006635245
d18946,Murang'a,,1518,Central,0.206353614
d18947,Nyandarua,,1518,Central,0.2649308741
d18948,Nyeri,,1518,Central,0.2727435091
d18949,Kilifi,,1519,Coast,1.0022802909
d18950,Kwale,,1519,Coast,0.6821159972
d18951,Lamu,,1519,Coast,0.5590110858
d18952,Mombasa,,1519,Coast,0.0240764937
d18953,Taita Taveta,Taita,1519,Coast,1.4056854885
d18954,Tana River,,1519,Coast,3.1402067672
d18955,Embu,,1520,Eastern,0.2243125559
d18956,Isiolo,,1520,Eastern,2.0230252644
d18957,Kitui,,1520,Eastern,2.4499426216
d18958,Machakos,,1520,Eastern,0.4923056427
d18959,Makueni,,1520,Eastern,0.6690581238
d18960,Marsabit,,1520,Eastern,6.1499856336
d18961,Meru,,1520,Eastern,0.5828579423
d18962,Nithi,,1520,Eastern,0.1845623749
d18963,Wajir,,1520,Eastern,0.0171337812
d18964,Nairobi,,1521,Nairobi,0.0598740645
d18965,Garissa,,1522,North-Eastern,3.6130976488
d18966,Mandera,,1522,North-Eastern,2.3029222974
d18967,Wajir,,1522,North-Eastern,4.3434424087
d18968,Homa Bay,,1523,Nyanza,0.5510936713
d18969,Kisii,,1523,Nyanza,0.1091825083
d18970,Kisumu,,1523,Nyanza,0.1711335424
d18971,Migori,,1523,Nyanza,0.2069872766
d18972,Nyamira,North Kisii,1523,Nyanza,0.0723835245
d18973,Siaya,,1523,Nyanza,0.2052418338
d18974,Baringo,,1524,Rift Valley,0.8871841503
d18975,Bomet,,1524,Rift Valley,0.1923838193
d18976,Elgeyo-Marakwet,E. Marakwet,1524,Rift Valley,0.2467072928
d18977,Kericho,,1524,Rift Valley,0.2095153008
d18978,Laikipia,,1524,Rift Valley,0.7876325084
d18979,Nakuru,,1524,Rift Valley,2.378262771
d18980,Nandi,,1524,Rift Valley,0.2332839873
d18981,Narok,,1524,Rift Valley,1.4381781219
d18982,Samburu,,1524,Rift Valley,1.7142792517
d18983,Trans-Nzoia,,1524,Rift Valley,0.1999489037
d18984,Turkana,,1524,Rift Valley,4.9768925245
d18985,Uasin Gishu,,1524,Rift Valley,0.273877612
d18986,West Pokot,,1524,Rift Valley,0.7523718716
d18987,Bungoma,,1525,Western,0.2449468204
d18988,Busia,,1525,Western,0.1462176784
d18989,Kakamega,,1525,Western,0.2464573328
d18990,Vihiga,,1525,Western,0.0465047031
