id,name,slug,alt-name,adm1-id,adm1-name,area
d18943,Kiambu,kiambu,,1518,Central,0.2100209347
d18944,Kirinyaga,kirinyaga,,1518,Central,0.1203510382
d18946,Murang'a,muranga,,1518,Central,0.206353614
d18947,Nyandarua,nyandarua,,1518,Central,0.2649308741
d18948,Nyeri,nyeri,,1518,Central,0.2727435091
d18949,Kilifi,kilifi,,1519,Coast,1.0022802909
d18950,Kwale,kwale,,1519,Coast,0.6821159972
d18951,Lamu,lamu,,1519,Coast,0.5590110858
d18952,Mombasa,mombasa,,1519,Coast,0.0240764937
d18953,Taita Taveta,taita-taveta,Taita,1519,Coast,1.4056854885
d18954,Tana River,tana-river,,1519,Coast,3.1402067672
d18955,Embu,embu,,1520,Eastern,0.2243125559
d18956,Isiolo,isiolo,,1520,Eastern,2.0230252644
d18957,Kitui,kitui,,1520,Eastern,2.4499426216
d18958,Machakos,machakos,,1520,Eastern,0.4923056427
d18959,Makueni,makueni,,1520,Eastern,0.6690581238
d18960,Marsabit,marsabit,,1520,Eastern,6.1499856336
d18961,Meru,meru,,1520,Eastern,0.5828579423
d18962,Nithi,nithi,,1520,Eastern,0.1845623749
d18964,Nairobi,nairobi,,1521,Nairobi,0.0598740645
d18965,Garissa,garissa,,1522,North-Eastern,3.6130976488
d18966,Mandera,mandera,,1522,North-Eastern,2.3029222974
d18967,Wajir,wajir,,1522,North-Eastern,4.3434424087
d18968,Homa Bay,homa-bay,,1523,Nyanza,0.5510936713
d18969,Kisii,kisii,,1523,Nyanza,0.1091825083
d18970,Kisumu,kisumu,,1523,Nyanza,0.1711335424
d18971,Migori,migori,,1523,Nyanza,0.2069872766
d18972,Nyamira,nyamira,North Kisii,1523,Nyanza,0.0723835245
d18973,Siaya,siaya,,1523,Nyanza,0.2052418338
d18974,Baringo,baringo,,1524,Rift Valley,0.8871841503
d18975,Bomet,bomet,,1524,Rift Valley,0.1923838193
d18976,Elgeyo-Marakwet,elgeyo-marakwet,E. Marakwet,1524,Rift Valley,0.2467072928
d18977,Kericho,kericho,,1524,Rift Valley,0.2095153008
d18978,Laikipia,laikipia,,1524,Rift Valley,0.7876325084
d18979,Nakuru,nakuru,,1524,Rift Valley,2.378262771
d18980,Nandi,nandi,,1524,Rift Valley,0.2332839873
d18981,Narok,narok,,1524,Rift Valley,1.4381781219
d18982,Samburu,samburu,,1524,Rift Valley,1.7142792517
d18983,Trans-Nzoia,trans-nzoia,,1524,Rift Valley,0.1999489037
d18984,Turkana,turkana,,1524,Rift Valley,4.9768925245
d18985,Uasin Gishu,uasin-gishu,,1524,Rift Valley,0.273877612
d18986,West Pokot,west-pokot,,1524,Rift Valley,0.7523718716
d18987,Bungoma,bungoma,,1525,Western,0.2449468204
d18988,Busia,busia,,1525,Western,0.1462176784
d18989,Kakamega,kakamega,,1525,Western,0.2464573328
d18990,Vihiga,vihiga,,1525,Western,0.0465047031
d18991,Kajiado,kajiado,,1524,Rift Valley,0
